"id","name","content","qty","created_at","updated_at","image__url","image__thumb__url","price_net_buy","price_net_sell","product_index","buy_number","length","gramature","structure","color","product_kind"
"68","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #1","675","2019-07-22T07:54:06.501Z","2019-07-22T07:54:06.501Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#1","włosy"
"69","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #1b","200","2019-07-22T07:54:06.530Z","2019-07-22T07:54:06.530Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#1b","włosy"
"70","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #2","4175","2019-07-22T07:54:06.538Z","2019-07-22T07:54:06.538Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#2","włosy"
"71","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 45, #2","50","2019-07-22T07:54:06.546Z","2019-07-22T07:54:06.546Z","null","null","null","4.46","null","null","45.0","0.5","proste podatne","#2","włosy"
"72","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #4","975","2019-07-22T07:54:06.555Z","2019-07-22T07:54:06.555Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#4","włosy"
"73","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #6","0","2019-07-22T07:54:06.563Z","2019-07-22T07:54:06.563Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#6","włosy"
"74","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #8","2275","2019-07-22T07:54:06.572Z","2019-07-22T07:54:06.572Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#8","włosy"
"75","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #10","100","2019-07-22T07:54:06.580Z","2019-07-22T07:54:06.580Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#10","włosy"
"76","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #12","425","2019-07-22T07:54:06.589Z","2019-07-22T07:54:06.589Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#12","włosy"
"77","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #16","975","2019-07-22T07:54:06.597Z","2019-07-22T07:54:06.597Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#16","włosy"
"78","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #18","1525","2019-07-22T07:54:06.605Z","2019-07-22T07:54:06.605Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#18","włosy"
"79","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #20","2175","2019-07-22T07:54:06.613Z","2019-07-22T07:54:06.613Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#20","włosy"
"80","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #22","650","2019-07-22T07:54:06.622Z","2019-07-22T07:54:06.622Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#22","włosy"
"81","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #24","500","2019-07-22T07:54:06.630Z","2019-07-22T07:54:06.630Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#24","włosy"
"82","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #27","1450","2019-07-22T07:54:06.639Z","2019-07-22T07:54:06.639Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#27","włosy"
"83","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #613","25","2019-07-22T07:54:06.647Z","2019-07-22T07:54:06.647Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#613","włosy"
"84","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #30","300","2019-07-22T07:54:06.656Z","2019-07-22T07:54:06.656Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#30","włosy"
"85","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #33","275","2019-07-22T07:54:06.663Z","2019-07-22T07:54:06.663Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#33","włosy"
"86","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #130","500","2019-07-22T07:54:06.672Z","2019-07-22T07:54:06.672Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#130","włosy"
"87","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #60","2075","2019-07-22T07:54:06.680Z","2019-07-22T07:54:06.680Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#60","włosy"
"88","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #PM","2800","2019-07-22T07:54:06.689Z","2019-07-22T07:54:06.689Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#PM","włosy"
"89","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 40, #PB","2125","2019-07-22T07:54:06.697Z","2019-07-22T07:54:06.697Z","null","null","null","4.46","null","null","40.0","0.5","proste podatne","#PB","włosy"
"90","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #1","2700","2019-07-22T07:54:06.705Z","2019-07-22T07:54:06.705Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#1","włosy"
"91","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #1b","1200","2019-07-22T07:54:06.714Z","2019-07-22T07:54:06.714Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#1b","włosy"
"92","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #2","0","2019-07-22T07:54:06.722Z","2019-07-22T07:54:06.722Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#2","włosy"
"93","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #4","525","2019-07-22T07:54:06.730Z","2019-07-22T07:54:06.730Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#4","włosy"
"94","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #6","125","2019-07-22T07:54:06.738Z","2019-07-22T07:54:06.738Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#6","włosy"
"95","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #8","1600","2019-07-22T07:54:06.747Z","2019-07-22T07:54:06.747Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#8","włosy"
"96","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #10","425","2019-07-22T07:54:06.755Z","2019-07-22T07:54:06.755Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#10","włosy"
"97","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #12","400","2019-07-22T07:54:06.763Z","2019-07-22T07:54:06.763Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#12","włosy"
"98","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #16","0","2019-07-22T07:54:06.772Z","2019-07-22T07:54:06.772Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#16","włosy"
"99","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #18","975","2019-07-22T07:54:06.780Z","2019-07-22T07:54:06.780Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#18","włosy"
"100","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #20","400","2019-07-22T07:54:06.788Z","2019-07-22T07:54:06.788Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#20","włosy"
"101","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #18/22","825","2019-07-22T07:54:06.796Z","2019-07-22T07:54:06.796Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#18/22","włosy"
"102","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #22","750","2019-07-22T07:54:06.805Z","2019-07-22T07:54:06.805Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#22","włosy"
"103","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #24","1375","2019-07-22T07:54:06.813Z","2019-07-22T07:54:06.813Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#24","włosy"
"104","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #27","125","2019-07-22T07:54:06.821Z","2019-07-22T07:54:06.821Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#27","włosy"
"105","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #613","900","2019-07-22T07:54:06.830Z","2019-07-22T07:54:06.830Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#613","włosy"
"106","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #30","475","2019-07-22T07:54:06.839Z","2019-07-22T07:54:06.839Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#30","włosy"
"107","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #33","250","2019-07-22T07:54:06.847Z","2019-07-22T07:54:06.847Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#33","włosy"
"108","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #130","175","2019-07-22T07:54:06.854Z","2019-07-22T07:54:06.854Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#130","włosy"
"357","Eliksir Beauty for You","Eliksir Beauty for You","600","2019-07-22T08:10:02.366Z","2019-07-22T08:10:02.366Z","null","null","null","39.0","null","null","null","null","null","null","kosmetyki"
"109","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #60","1475","2019-07-22T07:54:06.864Z","2019-07-22T07:54:06.864Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#60","włosy"
"110","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #PM","2950","2019-07-22T07:54:06.871Z","2019-07-22T07:54:06.871Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#PM","włosy"
"111","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 51, #PB","2500","2019-07-22T07:54:06.880Z","2019-07-22T07:54:06.880Z","null","null","null","5.68","null","null","51.0","0.7","proste podatne","#PB","włosy"
"112","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #1","2000","2019-07-22T07:54:06.888Z","2019-07-22T07:54:06.888Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#1","włosy"
"113","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #1b","1875","2019-07-22T07:54:06.898Z","2019-07-22T07:54:06.898Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#1b","włosy"
"114","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #2","1125","2019-07-22T07:54:06.905Z","2019-07-22T07:54:06.905Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#2","włosy"
"115","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #4","1325","2019-07-22T07:54:06.913Z","2019-07-22T07:54:06.913Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#4","włosy"
"116","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #6","825","2019-07-22T07:54:06.922Z","2019-07-22T07:54:06.922Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#6","włosy"
"117","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #8","375","2019-07-22T07:54:06.932Z","2019-07-22T07:54:06.932Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#8","włosy"
"118","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #10","225","2019-07-22T07:54:06.938Z","2019-07-22T07:54:06.938Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#10","włosy"
"119","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #12","275","2019-07-22T07:54:06.947Z","2019-07-22T07:54:06.947Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#12","włosy"
"120","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #16","175","2019-07-22T07:54:06.955Z","2019-07-22T07:54:06.955Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#16","włosy"
"121","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #18","1425","2019-07-22T07:54:06.964Z","2019-07-22T07:54:06.964Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#18","włosy"
"122","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #20","500","2019-07-22T07:54:06.972Z","2019-07-22T07:54:06.972Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#20","włosy"
"123","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #18/22","425","2019-07-22T07:54:06.980Z","2019-07-22T07:54:06.980Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#18/22","włosy"
"124","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #22","1625","2019-07-22T07:54:06.988Z","2019-07-22T07:54:06.988Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#22","włosy"
"125","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #24","775","2019-07-22T07:54:06.997Z","2019-07-22T07:54:06.997Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#24","włosy"
"126","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #27","850","2019-07-22T07:54:07.005Z","2019-07-22T07:54:07.005Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#27","włosy"
"127","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #613","1575","2019-07-22T07:54:07.013Z","2019-07-22T07:54:07.013Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#613","włosy"
"128","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #30","0","2019-07-22T07:54:07.022Z","2019-07-22T07:54:07.022Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#30","włosy"
"129","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #33","0","2019-07-22T07:54:07.030Z","2019-07-22T07:54:07.030Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#33","włosy"
"130","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #130","0","2019-07-22T07:54:07.038Z","2019-07-22T07:54:07.038Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#130","włosy"
"131","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #60","875","2019-07-22T07:54:07.047Z","2019-07-22T07:54:07.047Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#60","włosy"
"132","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #PM","600","2019-07-22T07:54:07.056Z","2019-07-22T07:54:07.056Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#PM","włosy"
"133","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, 61, #PB","1100","2019-07-22T07:54:07.063Z","2019-07-22T07:54:07.063Z","null","null","null","7.31","null","null","61.0","0.8","proste podatne","#PB","włosy"
"134","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, falowane, 55, #1","525","2019-07-22T07:54:07.071Z","2019-07-22T07:54:07.071Z","null","null","null","6.09","null","null","55.0","0.7","falowane","#1","włosy"
"135","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, falowane, 55, #1b","650","2019-07-22T07:54:07.081Z","2019-07-22T07:54:07.081Z","null","null","null","6.09","null","null","55.0","0.7","falowane","#1b","włosy"
"136","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, falowane, 55, #2","975","2019-07-22T07:54:07.089Z","2019-07-22T07:54:07.089Z","null","null","null","6.09","null","null","55.0","0.7","falowane","#2","włosy"
"137","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, falowane, 55, #4","750","2019-07-22T07:54:07.097Z","2019-07-22T07:54:07.097Z","null","null","null","6.09","null","null","55.0","0.7","falowane","#4","włosy"
"138","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, falowane, 55, #6","550","2019-07-22T07:54:07.105Z","2019-07-22T07:54:07.105Z","null","null","null","6.09","null","null","55.0","0.7","falowane","#6","włosy"
"139","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, falowane, 55, #8","675","2019-07-22T07:54:07.114Z","2019-07-22T07:54:07.114Z","null","null","null","6.09","null","null","55.0","0.7","falowane","#8","włosy"
"140","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, falowane, 55, #10","225","2019-07-22T07:54:07.122Z","2019-07-22T07:54:07.122Z","null","null","null","6.09","null","null","55.0","0.7","falowane","#10","włosy"
"141","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, falowane, 55, #12","250","2019-07-22T07:54:07.130Z","2019-07-22T07:54:07.130Z","null","null","null","6.09","null","null","55.0","0.7","falowane","#12","włosy"
"142","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, falowane, 55, #16","575","2019-07-22T07:54:07.139Z","2019-07-22T07:54:07.139Z","null","null","null","6.09","null","null","55.0","0.7","falowane","#16","włosy"
"143","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, falowane, 55, #18","425","2019-07-22T07:54:07.147Z","2019-07-22T07:54:07.147Z","null","null","null","6.09","null","null","55.0","0.7","falowane","#18","włosy"
"144","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, falowane, 55, #20","800","2019-07-22T07:54:07.155Z","2019-07-22T07:54:07.155Z","null","null","null","6.09","null","null","55.0","0.7","falowane","#20","włosy"
"145","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, falowane, 55, #18/22","775","2019-07-22T07:54:07.167Z","2019-07-22T07:54:07.167Z","null","null","null","6.09","null","null","55.0","0.7","falowane","#18/22","włosy"
"146","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, falowane, 55, #22","100","2019-07-22T07:54:07.180Z","2019-07-22T07:54:07.180Z","null","null","null","6.09","null","null","55.0","0.7","falowane","#22","włosy"
"147","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, falowane, 55, #24","1000","2019-07-22T07:54:07.190Z","2019-07-22T07:54:07.190Z","null","null","null","6.09","null","null","55.0","0.7","falowane","#24","włosy"
"148","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, falowane, 55, #27","0","2019-07-22T07:54:07.197Z","2019-07-22T07:54:07.197Z","null","null","null","6.09","null","null","55.0","0.7","falowane","#27","włosy"
"149","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, falowane, 55, #613","1925","2019-07-22T07:54:07.205Z","2019-07-22T07:54:07.205Z","null","null","null","6.09","null","null","55.0","0.7","falowane","#613","włosy"
"358","Peeling do skóry głowy","Peeling do skóry głowy","32","2019-07-22T08:10:02.373Z","2019-07-22T08:10:02.373Z","null","null","null","72.0","null","null","null","null","null","null","kosmetyki"
"150","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, falowane, 55, #30","150","2019-07-22T07:54:07.213Z","2019-07-22T07:54:07.213Z","null","null","null","6.09","null","null","55.0","0.7","falowane","#30","włosy"
"151","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, falowane, 55, #33","0","2019-07-22T07:54:07.221Z","2019-07-22T07:54:07.221Z","null","null","null","6.09","null","null","55.0","0.7","falowane","#33","włosy"
"152","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, falowane, 55, #130","0","2019-07-22T07:54:07.230Z","2019-07-22T07:54:07.230Z","null","null","null","6.09","null","null","55.0","0.7","falowane","#130","włosy"
"153","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, falowane, 55, #60","1225","2019-07-22T07:54:07.238Z","2019-07-22T07:54:07.238Z","null","null","null","6.09","null","null","55.0","0.7","falowane","#60","włosy"
"154","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, falowane, 55, #PB","0","2019-07-22T07:54:07.247Z","2019-07-22T07:54:07.247Z","null","null","null","6.09","null","null","55.0","0.7","falowane","#PB","włosy"
"155","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #1","0","2019-07-22T07:54:07.255Z","2019-07-22T07:54:07.255Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#1","włosy"
"156","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #1b","350","2019-07-22T07:54:07.263Z","2019-07-22T07:54:07.263Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#1b","włosy"
"157","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #2","0","2019-07-22T07:54:07.271Z","2019-07-22T07:54:07.271Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#2","włosy"
"158","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #4","400","2019-07-22T07:54:07.280Z","2019-07-22T07:54:07.280Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#4","włosy"
"159","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #6","725","2019-07-22T07:54:07.288Z","2019-07-22T07:54:07.288Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#6","włosy"
"160","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #8","650","2019-07-22T07:54:07.297Z","2019-07-22T07:54:07.297Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#8","włosy"
"161","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #10","0","2019-07-22T07:54:07.305Z","2019-07-22T07:54:07.305Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#10","włosy"
